landmark_id,landmark_name,address,areaId,image_path
85,가재울중앙공원,서울특별시 서대문구 북가좌동 480,5,가재울중앙공원_001_0.jpg
86,가톨릭대학교_성의교정,서울특별시 서초구 반포동 505,10,51.가톨릭대학교성의교정_001_41545210.jpg
87,가톨릭대학교_성의교정대학본관,서울특별시 서초구 반포동 505,10,52.가톨릭대학교성의교정대학본관_001_41545707.jpg
88,가톨릭대학교성신교정도서관,서울특별시 종로구 혜화동 90-1,1,가톨릭대학교성신교정도서관_001_37256642.jpg
89,가톨릭대학교성의교정_성의회관,서울특별시 서초구 반포동 산38-2,10,71.가톨릭대학교성의교정성의회관_001_41545842.jpg
90,가톨릭청소년회관,"서울특별시 종로구 대학로 156 동성중고교,카톨릭청소년회관",1,가톨릭청소년회관_002_36297977.jpg
91,가회동성당,서울특별시 종로구 가회동 30-3,1,가회동성당_001_32153510.JPG
92,가회민화박물관,서울특별시 종로구 북촌로12길 17 북촌로 52,1,가회민화박물관_001_33043752.JPG
93,간데메공원,서울특별시 동대문구 답십리동 471,19,20개_간데메공원_001_38700933.jpg
94,간송옛집,서울특별시 도봉구 방학동 430,20,서울시   도봉구   간송 옛집_20201026_002_35179886.jpg
95,갈곡리어린이공원,서울특별시 은평구 갈현동436-51,12,갈곡리어린이공원_001_0.jpg
96,갈현1단지e-편한세상아파트,서울특별시 은평구 구산동 547,12,갈현동E편한세상1단지아파트_001_0.jpg
97,갈현동현대아파트,서울특별시 은평구 구산동 382,12,갈현동현대아파트_001_0.jpg
98,감고당길,서울특별시 종로구 안국동,1,감고당길_001_0.jpg
99,감로천생태공원,서울특별시 금천구 독산동 373,16,감로천생태공원_001_40907673.JPG
100,감리교신학대학교,서울특별시 서대문구 냉천동 31,5,감리교신학대학교_001_36453076.jpg
101,강가햇살어린이놀이터,서울특별시 광진구 자양동,2,강가햇살어린이놀이터_001_34771671.JPG
102,강남개포시장,서울특별시 강남구 개포2동 186-16,9,강남개포시장_001_36436443.jpg
103,강남고속버스터미널(경부),서울특별시 서초구 신반포로 194,10,강남고속버스터미널(경부)_002_42459860.jpg
104,강남구립정다운도서관,서울특별시 강남구 학동로67길 11,9,강남구립정다운도서관_002_35269475.jpg
105,강남구민체육관,서울특별시 강남구 개포동 1271,9,강남구민체육관_003_36436852.jpg
106,강남구보건소,"서울특별시 강남구 선릉로 668 강남구보건소,강남구립국제교육원",9,강남구보건소_001_35270156.jpg
107,강남구청,서울특별시 강남구 학동로 426 강남구청,9,강남구청_001_33547386.JPG
108,강남구청역,서울특별시 강남구 학동로 346,9,강남구청역_001_35270779.jpg
109,강남논현데이케어센터,서울특별시 강남구 논현로136길 5-8,9,강남논현데이케어센터_001_35271400.jpg
110,강남도서관,서울특별시 강남구 삼성동 28,9,강남도서관_001_32152709.JPG
111,강남문화원,서울특별시 강남구 테헤란로8길 36(역삼동),9,강남문화원_002_37994239.jpg
112,강남서초교육지원청,서울특별시 강남구 삼성2동 28,9,강남서초교육지원청_001_35305852.jpg
113,강남세무서,서울특별시 강남구 학동로 425 강남세무서,9,강남세무서_001_35272066.jpg
114,강남세브란스병원,서울특별시 강남구 도곡동 146-92,9,강남세브란스병원_001_32007511.JPG
115,강남스타일말춤손목조형물,서울특별시 강남구 영동대로 513,9,강남스타일_말춤_손목_조형물_001_33711353.JPG
116,강남스포츠문화센터,서울특별시 강남구 수서동 718,9,(강남구)강남스포츠문화센터_001_34743460.jpg
117,강남역,서울특별시 강남구 강남대로 396,9,강남역_001_36228142.jpg
118,강남역사거리,서울특별시 서초구 서초동,10,강남역사거리_001_0.jpg
119,강남을지대학교병원,서울특별시 강남구 도산대로 202 강남을지병원,9,강남을지대학교병원_009_35272819.jpg
120,강남중앙침례교회,서울특별시 강남구 학동로46길 5 교회,9,강남중앙침례교회_001_35273469.jpg
121,강남차병원,서울특별시 강남구 역삼동 650-11,9,강남 차병원(강남구)_001_39809273.jpg
122,강남청담문화센터,서울특별시 강남구 청담동 124-1,9,강남청담문화센터_001_36941310.jpg
123,강남청소년수련관,서울특별시 강남구 영동대로131길 26 강남청소년수련관,9,강남청소년수련관_001_34743658.jpg
124,강남패밀리호텔,서울특별시 강남구 봉은사로 143 운현오피스텔,9,강남패밀리호텔_001_35216398.jpg
125,강동구립해공도서관,서울특별시 강동구 천호동 360,17,(강동구)해공도서관_001_42032919.jpg
